Block,Reward Era,BTC/block,Start BTC,BTC Added,End BTC,BTC Increase,End BTC % of Limit,Year
0,1,50,0,10500000,10500000.00000000*,infinite,50.00%,2008
210000,2,25,10500000,5250000,15750000,50.00%,75.00%,2012
420000,3,12.5,15750000,2625000,18375000,16.67%,87.50%,2016
630000,4,6.25,18375000,1312500,19687500,7.14%,93.75%,2020
840000,5,3.125,19687500,656250,20343750,3.33%,96.88%,2024
1050000,6,1.5625,20343750,328125,20671875,1.61%,98.44%,2028
1260000,7,0.78125,20671875,164062.5,20835937.5,0.79%,99.22%,2032
1470000,8,0.390625,20835937.5,82031.25,20917968.75,0.39%,99.61%,2036
1680000,9,0.1953125,20917968.75,41015.625,20958984.38,0.20%,99.80%,2040
1890000,10,0.09765625,20958984.38,20507.8125,20979492.19,0.10%,99.90%,2044
2100000,11,0.04882812,20979492.19,10253.9052,20989746.09,0.05%,99.95%,2048
2310000,12,0.02441406,20989746.09,5126.9526,20994873.05,0.02%,99.98%,2052
2520000,13,0.01220703,20994873.05,2563.4763,20997436.52,0.01%,99.99%,2056
2730000,14,0.00610351,20997436.52,1281.7371,20998718.26,0.01%,99.99%,2060
2940000,15,0.00305175,20998718.26,640.8675,20999359.13,0.00%,100.00%,2064
3150000,16,0.00152587,20999359.13,320.4327,20999679.56,0.00%,100.00%,2068
3360000,17,0.00076293,20999679.56,160.2153,20999839.77,0.00%,100.00%,2072
3570000,18,0.00038146,20999839.77,80.1066,20999919.88,0.00%,100.00%,2076
3780000,19,0.00019073,20999919.88,40.0533,20999959.93,0.00%,100.00%,2080
3990000,20,0.00009536,20999959.93,20.0256,20999979.96,0.00%,100.00%,2084
4200000,21,0.00004768,20999979.96,10.0128,20999989.97,0.00%,100.00%,2088
4410000,22,0.00002384,20999989.97,5.0064,20999994.98,0.00%,100.00%,2092
4620000,23,0.00001192,20999994.98,2.5032,20999997.48,0.00%,100.00%,2096
4830000,24,0.00000596,20999997.48,1.2516,20999998.73,0.00%,100.00%,2100
5040000,25,0.00000298,20999998.73,0.6258,20999999.36,0.00%,100.00%,2104
5250000,26,0.00000149,20999999.36,0.3129,20999999.67,0.00%,100.00%,2108
5460000,27,0.00000074,20999999.67,0.1554,20999999.83,0.00%,100.00%,2112
5670000,28,0.00000037,20999999.83,0.0777,20999999.91,0.00%,100.00%,2116
5880000,29,0.00000018,20999999.91,0.0378,20999999.94,0.00%,100.00%,2120
6090000,30,0.00000009,20999999.94,0.0189,20999999.96,0.00%,100.00%,2124
6300000,31,0.00000004,20999999.96,0.0084,20999999.97,0.00%,100.00%,2128
6510000,32,0.00000002,20999999.97,0.0042,20999999.97,0.00%,100.00%,2132
6720000,33,0.00000001,20999999.97,0.0021,20999999.98,0.00%,100.00%,2136
6930000,34,0,20999999.98,0,20999999.98,0.00%,100.00%,2140